1,(Re)Soundings,Humanities,"Languages and Literature",0.0,
2,"10Th International Symposium On Integrated Circuits Devices And Systems Isic 2004 Integrated Systems On Silicon Proceedings",,,0.0,
3,"11th Conference on Artificial Intelligence for Applications","Computer and Information Science","Artificial Intelligence",0.0,
4,"11Th International Congress On Catalysis 40Th Anniversary Pts A And B",,,0.0,
5,"13Th Ieee Workshop On Local And Metropolitan Area Networks Lanman 2004",,,0.0,
6,"14Th International Conference And Exhibition On Liquefied Natural Gas",,,0.0,
7,"15Th International Conference On Microwaves Radar And Wireless Communications Mikon 2004",,,0.0,
8,"15th International Workshop on Research Issues in Data Engineering: Stream Data Mining and Applications",Engineering,Miscellaneous,0.0,
9,"16th Symposium on Computer Architecture and High Performance Computing","Computer and Information Science","Computer Architecture",0.0,
10,"18Th Annual Waste Testing And Quality Assurance Symposium Wtqa 2002 Proceedings",,,0.0,
11,"1995 Supreme Court Review",,,0.0,"Supreme Court Rev"
12,"1998 Trb Distinguished Lecture Pt 1 Maintenance Challenges And Safety Issues Pt 2",,,0.0,
13,"1999 Workshop on Knowledge and Data Engineering Exchange",Engineering,Miscellaneous,0.0,
14,"19th-Century Music","Arts and Literature",Music,0.0,
15,"19th IEEE International Conference on Automated Software Engineering","Computer and Information Science","Software Engineering",0.0,
16,"2000 Ieee Wireless Communications And Networking Conference",,,0.0,
17,"2002 International Conference On Computational Nanoscience And Nanotechnology Iccn 2002",,,0.0,
18,"2002 International Conference On Modeling And Simulation Of Microsystems Msm 2002",,,0.0,
19,"2003 Ieee Power Engineering Society General Meeting Conference Proceedings",,,0.0,
20,"2003 International Mechanical Pulping Conference",,,0.0,
21,"2003 Nanotechnology Conference And Trade Show Nanotech 2003",,,0.0,
22,"2004 2Nd International Ieee Conference 'Intelligent Systems' Proceedings",,,0.0,
23,"2004 7Th International Conference On Signal Processing Proceedings Icsp",,,0.0,
24,"2004 Aiche Spring National Meeting Conference Proceedings",,,0.0,
25,"2004 Annual Meeting Technical And Symposium Papers American Society Of Heating Refrigerating And Air Conditioning Engineers",,,0.0,
26,"2004 Computing Frontiers Conference",,,0.0,
27,"2004 Ieee 6Th Workshop On Multimedia Signal Processing",,,0.0,
28,"2004 Ieee Conference On Cybernetics And Intelligent Systems",,,0.0,
29,"2004 Ieee Conference On Robotics Automation And Mechatronics",,,0.0,
30,"2004 Ieee International Conference On Multimedia And Expo Icme",,,0.0,
31,"2004 Ieee International Symposium On Cluster Computing And The Grid Ccgrid 2004",,,0.0,
32,"2004 Ieee International Symposium On Consumer Electronics Proceedings",,,0.0,
33,"2004 Ieee Power Engineering Society General Meeting",,,0.0,
34,"2004 Ieee Rsj International Conference On Intelligent Robots And Systems Iros",,,0.0,
35,"2004 International Chemical Recovery Conference",,,0.0,
36,"2004 International Conference On Communications Circuits And Systems",,,0.0,
37,"2004 International Conference On Integrated Circuit Design And Technology Icicdt",,,0.0,
38,"2004 Nsti Nanotechnology Conference And Trade Show Nsti Nanotech 2004",,,0.0,
39,"2004 Sme Annual Meeting Preprints",,,0.0,
40,"2004 Tappi Paper Summit Spring Technical And International Environmental Conference",,,0.0,
41,"2005 Conference On Lasers And Electro Optics Cleo",,,0.0,
42,"2005 Ieee Vlsi Tsa International Symposium On Vlsi Technology Vlsi Tsa Tech Proceedings Of Technical Papers",,,0.0,
43,"2005 International Conference On Communications Circuits And Systems Proceedings",,,0.0,
44,"2005 International Conference On Machine Learning And Cybernetics Icmlc 2005",,,0.0,
45,"20th-century music","Arts and Literature",Music,0.0,
46,"21st Century Fuels",Chemistry,Miscellaneous,0.0,
47,"21st Century Music","Arts and Literature",Music,0.0,
48,"21st Century Policy Review",Economics,"Public Economics",0.0,
49,"21st International Conference on Data Engineering",Engineering,Miscellaneous,0.0,
50,"22Nd Picture Coding Symposium",,,0.0,
51,"24Th Annual Southern African Transport Conference Satc 2005 Transport Challenges For 2010",,,0.0,
52,"31St Annual Acm Siguccs Fall Conference Siguss Conference Proceedings",,,0.0,
53,"33 Metal Producing","Business Administration",Miscellaneous,0.0,
54,"3X/400 Systems Management","Computer and Information Science",Miscellaneous,0.0,
55,"401(k) Advisor","Business Administration",Miscellaneous,0.0,
56,"4Th International Conference Copper 99 Cobre 99",,,0.0,
57,"5 To 7 Educator",Education,"Curriculum Studies",0.0,
58,"5Th Ieee International Vacuum Electronics Conference Ivec 2004",,,0.0,
59,"5th International Conference on Microelectronics for Neural Networks and Fuzzy Systems","Computer and Information Science","Neural Networks",0.0,
60,"5th International Workshop on Object Orientation in Operating Systems","Computer and Information Science","Operating Systems",0.0,
61,"6Th International Conference On Advanced Communication Technology Broadband Convergence Network Infrastructure",,,0.0,
62,"80 Micro","Computer and Information Science",Miscellaneous,0.0,
63,"8Th Korea Russia International Symposium On Science And Technology Proceedings Korus 2004",,,0.0,
64,"A + U Architecture And Urbanism",,,0.0,"A U-Archit Urban"
65,"A and WMA Environmental Compliance News",Law,Miscellaneous,0.0,
66,"A Contracorriente: A Journal of Social History and Literature in Latin America","Arts and Literature",Latin,0.0,
67,"A Life in the Day",Education,Miscellaneous,0.0,
68,"A N A E Approche Neuropsychologique Des Apprentissages Chez L'Enfant",,,0.0,Anae
69,"A Symposium of the Society for General Microbiology","Biological Sciences",Microbiology,0.0,
70,"A Trends Guide",Engineering,Miscellaneous,0.0,
71,"A Wake Newslitter",,,0.0,"Wake Newsl"
72,"A. E. - Oklahoma State University, Department of Agricultural Economics",Economics,"Agricultural Economics",0.0,
73,"A.E.A. information series - Louisiana Agricultural Experiment Station","Biological Sciences","Agricultural Science",0.0,
74,"A.M.E. church review, The",Humanities,Church,0.0,
75,"AAA: Arbeiten aus Anglistik und Amerikanistik",Linguistics,Philology,0.0,"Aaa-Arb Anglist Am"
76,"Aac Augmentative And Alternative Communication",,,0.0,
77,"Aace Bulletin",,,0.0,"Aace Bull"
78,"AACE International Transactions","Business Administration",Miscellaneous,0.0,
79,"Aace International Transactions Of The Annual Meeting",,,0.0,
80,"AACE Journal",Education,"Educational Technology",0.0,
81,"Aacn Advanced Critical Care",,,0.0,
82,"Aacn Clinical Issues",,,0.0,
83,"AACN Clinical Issues: Advanced Practice in Acute and Critical Care",Education,Miscellaneous,0.0,
84,"AACN Clinical Issues in Critical Care Nursing",Medicine,Nursing,0.0,
85,"AACN Nursing Scan In Critical Care",Medicine,Nursing,0.0,
86,"AADE dance forum","Arts and Literature","Visual and Performing Arts",0.0,
87,"AAHE Bulletin",Education,Miscellaneous,0.0,
88,"AANA Journal (American Association of Nurse Anesthetists)",Medicine,Anesthesiology,0.0,
89,"Aana Journal American Association Of Nurse Anesthetists",,,0.0,"Aana J"
90,"AANNT Journal: American Association of Nephrology Nurses & Technicians",Medicine,"Nephrology, Urology",0.0,
91,"Aannt Journal The American Association Of Nephrology Nurses And Technicians",,,0.0,
92,"Aao Journal",,,0.0,
93,"AAOHN Journal",Medicine,Nursing,0.0,
94,"AAP Grand Rounds",Medicine,Pediatrics,0.0,
95,"AAP News",Medicine,Pediatrics,0.0,
96,"AAPG Bulletin",Chemistry,Petroleum,0.0,"Aapg Bull"
97,"Aapg Bulletin American Association Of Petroleum Geologists",,,0.0,
98,"AAPG Continuing Education Course Note Series",Education,Miscellaneous,0.0,
99,"Aapg Memoir",,,0.0,
100,"AAPG Studies in Geology","Earth Sciences",Geology,0.0,
101,"AAPG Treatise of Petroleum Geology, Atlas of Oil and Gas Fields",Chemistry,Petroleum,0.0,
102,"Aappo Journal The Journal Of The American Association Of Preferred Provider Organizations",,,0.0,
